FID_1,Slope,Elevation,Curvature,Flow,Riverdist,Drianageden,Geology,Rainfall,SPI,TWI,CN,flood_label
171,1.523013,115.675,-0.0072,49.220625,200.875741,0.737402,4,1450.990961,-5.02247,8.738383,79.9225,1
172,1.705415,117.251875,0.0004,16.55625,154.179242,0.663229,4,1449.311358,-5.646458,8.34284,80.400625,1
173,1.594428,117.60125,0.004,14.1475,162.4643,0.640666,4,1447.76801,-6.385959,8.255315,80.1925,1
174,1.446961,116.158125,-0.008,728.528125,444.452129,0.638955,4,1446.40457,-4.561606,9.455837,79.511875,0
175,1.559418,117.12875,-0.0016,118.63375,704.337911,0.583861,4,1445.269236,-5.593955,8.463426,79.72,0
176,1.836534,119.064375,0.0044,802.709375,658.647674,0.442559,4,1444.410346,-5.562179,8.248374,79.9,0
177,1.811201,119.806875,0.0048,861.190625,747.481098,0.413008,4,1443.870093,-5.362269,8.376638,81.199375,0
178,1.532546,119.53625,0.0032,183.86,860.080335,0.357746,4,1443.677263,-5.685558,8.591428,79.41625,0
179,1.553944,119.609375,0.0044,159.66,996.546604,0.19972,4,1443.840907,-5.237264,8.542379,79.01125,0
180,1.43863,119.205625,-0.0024,263.248125,1174.375994,0.039909,4,1444.346863,-2.837721,9.873603,79,0
181,1.438026,119.635625,-0.0008,85.013125,1483.546344,0,4,1445.158605,-4.807761,9.07245,79,0
182,1.503995,120.045625,-0.0056,419.620625,1876.026534,0,4,1446.222367,-4.454452,9.089946,79.05625,0
183,1.265798,120.18287,0,78.749441,2162.997788,0,4,1447.017369,-4.789917,9.354973,79,0
184,1.598349,114.485682,-0.006682,8.770302,500.109018,0.530623,4,1458.397451,-5.706572,8.301219,79,0
185,1.465119,113.638125,0.004,383.264375,169.303058,0.817464,4,1456.790963,-3.906157,9.323041,79,0
186,1.521609,113.823125,-0.0056,4420.4225,190.534587,1.029794,4,1454.861528,-3.96696,9.402127,79,0
187,1.413728,114.43375,0.0012,201.03625,370.810858,0.991235,4,1452.972997,-5.451971,9.15688,79,0
188,1.393785,115.32125,0.0056,103.676875,574.063482,0.902868,4,1451.146568,-5.744403,8.75879,79,0
189,1.419086,116.021875,-0.0028,44.989375,485.737,0.720928,4,1449.411329,-5.55589,8.726449,79.376875,0
190,1.691723,117.849375,0.0076,37.439375,217.331836,0.630942,4,1447.805328,-5.983309,8.312588,83.573125,0
191,1.832338,119.116875,0.0056,101.19,134.772766,0.650509,4,1446.375467,-6.064773,7.9615,83.156875,0
192,1.631614,118.67875,-0.0044,641.035625,231.228335,0.634009,4,1445.175432,-5.301915,8.696975,79.045,0
193,1.773452,119.94375,0.0044,29.576875,187.815472,0.616389,4,1444.260954,-5.482967,8.131292,79.045,0
194,1.722171,120.639375,-0.002,1515.429375,263.098388,0.624067,4,1443.682344,-4.88799,8.564345,78.9775,0
195,1.761261,121.1425,0.0012,19.664375,384.970153,0.620824,4,1443.475394,-5.292762,8.124964,81.39625,0
196,1.613857,120.350625,0.0004,266.889375,519.519073,0.49516,4,1443.652915,-5.064342,8.784552,79.30375,0
197,1.369964,119.265625,0.0012,143.688125,783.10487,0.270512,4,1444.199886,-4.17002,9.240764,79,0
198,1.473595,119.8475,0.0092,105.82625,1193.383414,0.032967,4,1445.074226,-4.619335,9.157165,79.016875,0
199,1.353777,120.480692,-0.003817,364.344599,1622.851776,0,4,1446.184818,-6.092859,8.918225,79.500994,0
200,1.350288,121.226087,0.042044,2.868613,1797.153208,0,4,1447.129084,-8.345761,7.818855,79,0
201,1.803801,115.58209,0.003249,3.979695,361.83012,0.22723,4,1462.860093,-6.903145,7.43953,79,0
202,1.985114,116.683508,0.003059,16.197897,777.724077,0.14092,4,1461.145561,-5.866497,7.709502,86.905749,0
203,1.593218,115.286608,-0.00521,42.499687,833.441203,0.287843,4,1459.228684,-5.412931,8.660745,80.502814,0
204,1.583185,114.37,0.0016,112.12875,497.443846,0.547016,4,1457.26823,-5.43022,8.668042,79,0
205,1.453888,114.02,0.0024,3940.425,223.616348,0.698549,4,1455.329104,-5.047999,8.936204,79,0
206,1.495387,113.321875,-0.002,388.73625,120.167268,0.681791,4,1453.425556,-3.393574,9.675244,79,0
207,1.342973,113.94875,-0.0028,275.636875,518.509415,0.603378,4,1451.577019,-4.630737,9.294973,79,0
208,1.432344,115.42125,-0.0028,165.728125,816.508748,0.560641,4,1449.811384,-6.224673,8.561244,79.691875,0
209,2.130938,119.581875,0.0012,107.283125,514.580173,0.470508,4,1448.166676,-5.179059,7.924122,84.5125,0
210,1.743319,120.50875,-0.0024,21.7425,317.348765,0.533569,4,1446.691646,-5.777415,8.282262,81.39625,0
211,1.420753,119.37625,-0.0004,515.59125,254.403613,0.580074,4,1445.444188,-5.481952,8.985421,79,0
212,1.816513,120.338125,-0.0056,109.47375,266.664015,0.619384,4,1444.486542,-4.854836,8.827348,79,0
213,2.346185,121.845,-0.0236,209.214375,191.283644,0.767311,4,1443.876818,-5.095112,8.027038,78.82625,0
214,2.098044,121.348125,-0.0116,1258.369375,108.250667,0.749685,4,1443.657907,-4.691316,8.394415,79.801875,0
215,1.704146,121.66375,0,56.23875,144.505251,0.726881,4,1443.846693,-6.0039,8.352342,82.476875,0
216,1.522207,120.038125,0.0008,133.008125,553.070346,0.582156,4,1444.4274,-4.278001,9.228331,79,0
217,1.642093,120.745,0.0004,153.9525,987.802238,0.202708,4,1445.352295,-5.003241,8.798918,79,0
218,1.537372,120.89875,-0.0008,63.0225,1324.82575,0.007337,4,1446.549883,-5.711943,8.351762,79,0
219,1.333405,120.494024,0.000619,475.791103,1615.367309,0,4,1447.730763,-5.284031,9.470061,79,0
220,1.556863,114.350187,-0.001212,632.412879,438.34511,0.360974,4,1467.471736,-5.601234,8.388516,79,0
221,1.417932,114.205785,-0.002112,68741.97607,138.160944,0.367433,4,1465.849591,-5.151121,8.862319,79,0
222,1.866693,115.536213,-0.001627,53.113795,274.808843,0.324067,4,1463.822075,-5.65895,8.137966,79,0
223,1.864962,116.500625,0.0068,12.266875,740.085954,0.197746,4,1461.857685,-5.678764,7.869283,84.625,0
224,1.512238,115.725,-0.0076,36.13875,1107.104743,0.067976,4,1459.896795,-5.650647,8.499081,84.34375,0
225,1.435758,114.29,0.004,11.37625,879.652456,0.383515,4,1457.951501,-5.278501,8.619559,79,0
226,1.507125,113.926875,-0.0096,2295.915,495.059708,0.596846,4,1456.02855,-4.292357,9.390219,79,0
227,1.428666,113.70375,0.0048,1595.063125,120.800579,0.616062,4,1454.138898,-5.317464,8.946636,79,0
228,1.297711,113.901875,0.0032,115.398125,383.123157,0.563719,4,1452.299728,-4.829025,9.422765,79,0
229,2.704879,118.355625,-0.0032,37.930625,839.782064,0.420899,4,1450.536797,-5.07805,7.961454,78.8225,0
230,2.558525,122.78125,-0.0084,47.904375,930.438174,0.20666,4,1448.886674,-4.790436,8.006552,79.39125,0
231,2.297968,121.776875,0.0032,73.99,806.951689,0.315299,4,1447.398088,-5.191201,7.900781,84.123125,0
232,2.804228,121.945625,-0.0008,370.96625,749.735754,0.394578,4,1446.131046,-4.353033,8.201937,79.1175,0
233,2.807146,128.276875,-0.0072,32.36875,753.788416,0.493576,4,1445.152287,-5.012236,7.591877,77.84875,0
234,4.00874,130.520625,0.034,34.76,620.689448,0.772744,4,1444.526137,-5.23509,6.868455,77.45375,0
235,2.899317,122.828125,-0.0024,1357.550625,328.433727,0.851206,4,1444.301654,-3.996527,8.114112,81.316875,0
236,2.012486,122.059375,0.0092,59.595625,141.617075,0.878574,4,1444.499378,-5.183665,7.88745,79.14625,0
237,1.612085,121.476875,0.0024,74.434375,394.68437,0.764052,4,1445.102828,-5.637462,8.54432,79,0
238,1.481923,120.995625,-0.0072,116.471875,626.395341,0.440064,4,1446.058995,-4.831271,8.961621,79,0
239,1.44897,120.7975,0.004,50.63625,1003.585978,0.119604,4,1447.28832,-5.640684,8.586239,79,0
240,1.471665,121.424791,0.000879,262.535027,1422.201202,0.000052,4,1448.635496,-5.451902,8.878632,79.310773,0
241,1.143903,122,-0.128,1.2,1678.342456,0,4,1449.412915,-6.556678,6.845099,79,0
242,2.275662,118.219512,0.003232,3.742424,2815.136015,0,4,1478.042022,-6.238165,6.880384,79,0
243,1.627096,116.857025,-0.002105,20.926809,2480.713221,0,4,1476.551124,-5.878085,8.258405,79,0
244,1.474789,115.996528,-0.002209,33.370147,2002.992914,0,4,1474.651459,-5.792645,8.612762,79,0
245,1.361095,115.167235,-0.00216,576.193476,1509.022831,0,4,1472.738081,-4.680969,9.391324,79,0
